"INSTITUCION","ESTADO","Cantidad","Porcentaje"
"ESSALUD","ACTIVO",408,83.1
"ESSALUD","BAJA DEFINITIVA",65,13.24
"ESSALUD","BAJA PROVISIONAL",18,3.67
"GOBIERNO REGIONAL","ACTIVO",8377,94.58
"GOBIERNO REGIONAL","BAJA DEFINITIVA",413,4.66
"GOBIERNO REGIONAL","BAJA PROVISIONAL",59,0.67
"GOBIERNO REGIONAL","BAJA PROVISIONAL DE OFICIO",1,0.01
"GOBIERNO REGIONAL","CIERRE TEMPORAL DE OFICIO",2,0.02
"GOBIERNO REGIONAL","CIERRE TEMPORAL DE PARTE",5,0.06
"INPE","ACTIVO",58,95.08
"INPE","BAJA DEFINITIVA",3,4.92
"MINSA","ACTIVO",509,88.99
"MINSA","BAJA DEFINITIVA",36,6.29
"MINSA","BAJA PROVISIONAL",24,4.2
"MINSA","BAJA PROVISIONAL DE OFICIO",1,0.17
"MINSA","CIERRE TEMPORAL DE OFICIO",1,0.17
"MINSA","CIERRE TEMPORAL DE PARTE",1,0.17
"MUNICIPALIDAD DISTRITAL","ACTIVO",40,75.47
"MUNICIPALIDAD DISTRITAL","BAJA DEFINITIVA",10,18.87
"MUNICIPALIDAD DISTRITAL","BAJA DEFINITIVA DE OFICIO",2,3.77
"MUNICIPALIDAD DISTRITAL","BAJA PROVISIONAL",1,1.89
"MUNICIPALIDAD PROVINCIAL","ACTIVO",51,75
"MUNICIPALIDAD PROVINCIAL","BAJA DEFINITIVA",11,16.18
"MUNICIPALIDAD PROVINCIAL","BAJA PROVISIONAL",5,7.35
"MUNICIPALIDAD PROVINCIAL","CIERRE TEMPORAL DE PARTE",1,1.47
"OTRO","ACTIVO",228,92.31
"OTRO","BAJA DEFINITIVA",11,4.45
"OTRO","BAJA DEFINITIVA DE OFICIO",1,0.4
"OTRO","BAJA PROVISIONAL",5,2.02
"OTRO","BAJA PROVISIONAL DE OFICIO",1,0.4
"OTRO","CIERRE TEMPORAL DE OFICIO",1,0.4
"PRIVADO","ACTIVO",16682,67.75
"PRIVADO","BAJA DEFINITIVA",2722,11.05
"PRIVADO","BAJA DEFINITIVA DE OFICIO",198,0.8
"PRIVADO","BAJA PROVISIONAL",701,2.85
"PRIVADO","BAJA PROVISIONAL DE OFICIO",86,0.35
"PRIVADO","CIERRE TEMPORAL DE OFICIO",4221,17.14
"PRIVADO","CIERRE TEMPORAL DE PARTE",14,0.06
"SANIDAD DE LA FUERZA AEREA DEL PERU","ACTIVO",23,60.53
"SANIDAD DE LA FUERZA AEREA DEL PERU","BAJA DEFINITIVA",13,34.21
"SANIDAD DE LA FUERZA AEREA DEL PERU","BAJA PROVISIONAL",2,5.26
"SANIDAD DE LA MARINA DE GUERRA DEL PERU","ACTIVO",47,52.22
"SANIDAD DE LA MARINA DE GUERRA DEL PERU","BAJA DEFINITIVA",30,33.33
"SANIDAD DE LA MARINA DE GUERRA DEL PERU","BAJA PROVISIONAL",13,14.44
"SANIDAD DE LA POLICIA NACIONAL DEL PERU","ACTIVO",82,49.4
"SANIDAD DE LA POLICIA NACIONAL DEL PERU","BAJA DEFINITIVA",79,47.59
"SANIDAD DE LA POLICIA NACIONAL DEL PERU","BAJA PROVISIONAL",5,3.01
"SANIDAD DEL EJERCITO DEL PERU","ACTIVO",152,74.88
"SANIDAD DEL EJERCITO DEL PERU","BAJA DEFINITIVA",46,22.66
"SANIDAD DEL EJERCITO DEL PERU","BAJA PROVISIONAL",5,2.46
